Company,Final_Strategy,Final_Benchmark,Outperformance
ADBE,1.0796406081525662,0.6768106432442155,0.40282996490835077
AMD,1.0,0.6348731840907835,0.3651268159092165
AMZN,1.0086579114496799,1.0684471645585893,-0.05978925310890948
AVGO,1.0103348357968798,1.6455048507691474,-0.6351700149722677
CRM,1.0445121634049088,1.000655134521785,0.04385702888312393
CSCO,1.0534438741274945,1.0761667165263116,-0.022722842398817056
GOOGL,0.9353618416698805,1.1306117143890628,-0.19524987271918237
IBM,1.2216144466361338,1.0648031178418507,0.15681132879428317
INTC,0.8221009591015183,0.41938106946287024,0.402719889638648
META,1.0057726899045711,1.190944611424241,-0.18517192151966988
MSFT,0.9911495705228149,0.9341758283175765,0.05697374220523843
NVDA,1.0924696660313455,1.7192528542831003,-0.6267831882517547
ORCL,1.0509745968237678,1.3303092933735827,-0.2793346965498149
QCOM,1.0179140631892492,0.8968101734046875,0.12110388978456166
TXN,1.027436917602224,1.0262637636049419,0.001173153997282128
