,importance
GT2 Govt,0.15839461791669518
SPX Index,0.09748886672938903
INDU Index,0.0922287258133859
EPUCGLOB Index,0.07796449192225559
NDX Index,0.05292909111204718
GT10 Govt,0.0457391500477342
EPUCGLCP Index,0.04423010975129649
VIX Index,0.03553693830415967
USDJPY Curncy,0.031065284032057137
RTY Index,0.022397617898445157
CL1 Comdty,0.021381363142456106
VIX_PE_interact,0.021348146394884585
BCOM Index,0.019081586771674163
EURUSD Curncy,0.018189199037306182
DXY Curncy,0.017592644792989862
CALL_IMP_VOL_30D,0.016415365306053375
XAU Curncy,0.013964132098579869
PUT_IMP_VOL_30D,0.013522930052448343
CPURNSA Index,0.012041849227744358
BS_TOT_LIAB2,0.011703425239196923
